,,,,,,,,Unnamed: 0,date,review,rating,isEdited,title,userName
11,2022-12-22 07:06:53,카카오톡은 쓰지도 않는데 너무 많은 서비스로 휴대폰 저장공간 차지가 너무 심합니다!! 휴대폰 하나 외다른 부가적 기기들에는 카카오톡 다 지웠습니다;; 카카오톡이 연락 수단만 잘 되면 되지 왜 이렇게 용량을 많이 차지하는 서비스가 있어야하는지 모르겠어요; 개인의 취향에 따라 서비스를 삭제해서 용량을 줄일 수 있도록 만들었으면 좋겠습니다.,5.0,False,용량문제 제발 읽어주세요.,노당근🥕,,,,,,,,
12,2021-09-15 17:26:57,"이렇게 계속 무료앱을 앞세워 뭔가 숨은 이익을 찾아내려고 짜내시면 그냥 문자 쓰는게 나을듯하네요…
아이폰은 아이메시지가 있으니 슬슬 문자로 보내는 버릇을 키워야하겠네요! 
리뷰보면 제발 업데이트 하지말아라 원래대로 돌려달라.. 많네요! 
뭔가 자꾸 커지고 성장하는게 기업의 목표라지만 적당히 원래 취지와 목적 그리고 이익추구에서 발란스를 찾으시면 좋겠네요.. 근데 이익추구만이 목표다. 많은 사람들의 소통은 안중에 없다 하시면 … 카톡없는 세상으로 가렵니다..
뭐 다른거가 또 나오겠죠! 예전에도 그랬듯이…^^",5.0,False,오랜만에 업데이트했더니 뉴스 없어지고 뷰라는게 생김…뉴스보는 재미가 있었는데…,Giornobellissimo,,,,,,,,
13,2020-12-21 08:05:33,"멀티프로필 관련하여 얘기가 많은데요.
저는 사실 바람피기 좋다는 식의 부정적 사례를 인정 못하겠습니다. 직장인들이 해당 기능이 없을 때에도 알아서 잘 프로필 설정 해왔기때문에 필요성을 느끼지 못할거다라고 하시는데 그렇게따지면 바람피는 사람들도 해당 기능이 있기 전부터 알아서 잘 피워왔습니다. 70년대에도 바람피는 사람은 많았고 현재도 알아서 잘만 핍니다. 멀티프로필 기능이생겼다고 바람둥이들이 더 늘어납니까? 이건 그냥 사람 인성의 문제라고 생각합니다...(절대로 바람둥이 옹호하는거 아닙니다. 인성개쓰레기라고 생각합니다 저도. 제 전남친이 바람폈었는데 제가 뭐 좋다고 옹호합니까ㅋㅋ....)제 친구가 유치원교사입니다. 그냥 친구들이랑 찍은 사진만 프로필사진 해놔도 다음날에 학부모님들에게 민원 엄청 많이 들어옵니다. 그 프로필 사진을 유치원 아가들이 볼 수 있는 것이 아님에도 불구하고 (친구랑 나온 사진에 친구얼굴을 스티커로 가렸는데) 왜 친구 얼굴에 낙서를 해놨냐 애들 정서에 안좋다. 친구 머리색이 핑크색인건 뭐냐. 등등의 유치원 교사 본인도 아니고 유치원 교사 친구들의 머리색까지 간섭합니다. 프사로 사진을 해놔도,, 그림을 해놔도,, 연예인 사진을 해놔도 여전히 민원이 빗발칩니다. 그래서 제 친구 상처 엄청 많이 받아서 맨날 프사에 아무것도 안걸어놨는데 그럼 또 아무것도 안걸어놨다고 뭐라합니다... 유치원선생님이 아니더라도 다른 직장인분들도 비슷한 이유로 멀티프로필 기능이 필요하다고 생각합니다. 애초에 카카오톡 측에서 기획했던 의도처럼요. 예.. 뭐 해당 사례 또한 특정 학부모님들 개인 인성의 문제라고 딴지를 걸 수도 있습니다. 하지만 그렇게 따졌을 때 바람피는 사람들 때문에 해당 기능을 실행 못하는게 과연 합리적이고 효율적일까요...? 차라리 범죄,,사기 등의 사례를 거론하며 반대해주세요... 저를 비롯한 수많은 직장인들은 바람둥이들만 좋지 그런 기능이 왜 필요하냐와 같은 단면적인 의견의 댓글들을 보면 힘이 빠집니다... 저처럼 반대의 의견도 있다는걸 어필하고싶었습니다.. 카카오톡 측에서는 부디 현명하게 신중하게 결정해주세요 감사합니다.",5.0,False,멀티프로필,리뷰아니고문의,,,,,,,,
14,2023-09-16 11:24:51,"공지 말고 나만 볼 수 있는 메모 작성 공간이 생기면 좋을 거 같아요
개인톡방엔 생일이나 같이 하고있는 구독같은 정보도 적어놓는 방식으로 활용,,
단톡엔 공지글 쓸 때 원래 메모장 앱을 따로 켜서 쓰고 복붙했는데,, 카톡 자체 메모장에서 작성 후에 ‘이 톡방에 전송하기’ 만 누르면 전송되게끔 하면 편리할 것 같아요!",5.0,False,톡방마다 메모장 기능 생기면 좋겠어요,12아이폰,,,,,,,,
15,2023-06-18 06:40:17,다만 사회생활을 하다보니 저의 프로필을 남에게 보여주기 싫을 때가 있는데 친구 추가를 해야 가릴 수 있는 부분이 좀 번거롭습니다 단톡방에 초대가 되면 친구가 아닌 분들에게까지 저의 프로필이 보여지게 되는데 그때마다 한 명씩 추가해서 가리는 게 불편합니다 반대로 보여지고 싶은 프로필을 멀티프로필로 만들라고 생각하시는 분들도 계시겠지만 저는 반대로 기본 프로필을 기존 친구들에게 공개하고 멀티프로필을 사회생활할 때 쓰고 싶어 리뷰 남깁니다,5.0,False,잘 쓰고 있습니다,asd9654,,,,,,,,
16,2023-09-11 13:41:27,오픈채팅방도 일반채팅처럼 조용한 채팅방 기능 도입해주시면 안되나요 ㅠㅠ 아파트 입주민 커뮤니티가 오픈채팅방에서 이루어지고 있는데 하루에도 메시지가 수천개씩 오가는 중이라 비록 메시지알림을 꺼놓긴 했지만 숫자알림이 일반채팅과 구분도 안되어 어노잉한 부분이 있습니다 ㅠㅠ 그렇다고 방을 나가기엔 좋은 정보들이 오고가는 방이라 그럴수도 없고... 조용한 채팅방으로 숨겨 두고 시간내서 몰아 읽고 싶은데 오픈채팅방에도 조용한 채팅방 기능 추가해주세요 ㅠㅠ,5.0,False,오픈채팅방도 조용한 채팅방 도입해주세용,재득이2,,,,,,,,
17,2021-12-15 06:35:25,"안녕하세요! 카톡 참 잘 쓰고 있는데요,, 직장인들 중에서도 여러 사람들 만나서 번호 주고 받아야하는 사람들은 번호 저장했을때 자동으로 카톡 친구추가되는거 정말 불편합니다.. 

카톡도 sns 처럼 개인적인 자기표현의 공간이 있는데,, 낯선 사람이 제 번호만 알고 있으면 자동으로 제 카톡 프로필을 확인할 수 있도록 하면 개인정보 유출의 위험도 피할 수 없다고 생각합니다.

멀티 프로필도 서로 친구 추가가 되어있어야 가능한 기능인데,, 일방적으로 상대쪽에서 번호 저장한 경우 제 개인정보를 보호할 길이 없네요. 요즘 점점 카카오톡에서도 인스타나 페북처럼 더 자기표현 공간을 넓히려고 하는거 같은데,, 그럴수록 이런 보호는 꼭 필요하다고 봅니다. 개선 부탁드립니다!",4.0,False,낯선 사람한테 자동 친구 추가되는 거,리뷰,,,,,,,,
18,2023-03-28 00:38:45,"카카오톡 너무 잘 쓰고 있습니다.
단톡방(20-30명)에서 특정 사람(간부) 사람의 말 주머니를 크게 볼 수 있거나,, 폰트를 키울 수 있는 부분이 있었으면 좋겠습니다. 특정 사람(간부) 말이 그 많은 인원속에서 묻히는경우가 생길수도있으니 이런 기능 하나만 만들어주심 안될까요..ㅠㅠ",5.0,False,단톡방 특정사람 크게보기 or 폰트키우기,아쿠진큐,,,,,,,,
19,2021-03-18 15:04:35,채팅이랑 친구 목록 볼 때 정도만 사용하고 싶은데 편리한 사용을 위해 만드신 기능이라는 건 알겠지만 채팅만 하려고 앱을 켰다가 다른 길로 새서 # 검색 탭이나 카카오페이지 등을 보며 스마트폰을 계속 붙잡고 있게 되는 경우가 많습니다 😭 그런 기능을 각자 원하는지의 여부에 따라 사용자가 그 기능을 비활성화 시킬 수 있는 기능을 만들어주실 수 있을까요? 🥺 탈퇴할까 고민하다 읽으실지는 모르겠지만 리뷰로라도 한 번 남겨봅니다 🙏,5.0,False,비활성화 기능,ㄲㄱ.,,.,,,,,,
20,2021-08-17 12:31:03,진짜 역대 최악의 기능을 만들어 놓으셨네... 제발 내 프로필 업데이트 상대방한테 안뜨게 개인적으로 선택이라도 할수있게 해주세요... 그리고 메세지 좋아요 공감버튼 뭡니까ㅠㅠ 진짜 쓰잘데기 없는기능 넣어놨네ㅠㅠ 아니 사적인 sns도 아니고 매일 불가피하게 공적으로도 쓸수밖에 없는 카톡이 이러면 어떡합니까...ㅜㅜ 카톡은 메신저의 역할만 충실히 해주셔도 독점하시잖아요ㅠㅠ 제발 이러지 마세요,3.0,False,업데이트한친구,, 메세지 좋아요,,공감버튼,여니라요,,,,
21,2021-11-13 07:56:21,뭘 자꾸 따라하는지는 모르겠는데요 카톡 프로필 바꾸면 상단에 뜨는거 진짜 싫어요 이유가 없고 그냥 진짜 싫습니다 불편하고요 저만 그런게 애라 주위에서도 누가 바꾸면 뜨는거 솔직히 이해를 못하겠어요 기존의 카카오톡은 정말 간단하고 편하고 심플하게 이용할 수 있는 앱이였는데 멀티 프로필이니 프로필 업데이트 목록이라느니 조잡하고 불필요하고 어지러운 것들을 추가해 딴에라고는 기술의 혁신이랍시고 조잡하게 만들어놓는 이유를 모르겠습니다 전국민 100프로가 카카오톡을 기본앱으로 깔아두고 시작할 수 있었던 이유는 디자인과 심플함덕분이었어요 제발.. 이용자의 말을 귀기울여 들어주세요 부탁입니다 삭제해주세요,5.0,False,카카오톡이 인스타 입니까?,뭐하는지 모르겠다,,,,,,,,
22,2021-08-14 07:25:20,남들 프로필 업데이트 한 거 알고싶지도 않고 알리고 싶지도 않다고요ㅜ 너무 부담스러워서 죽겠어요 기능은 알겠으니 생일 알림처럼 개인적으로 설정할 수 있게 해주세요 제발 부탁입니다ㅠ~!~!!~!~!~!~!~!!~!~!~,5.0,False,프로필 업데이트 좀 제발...,아싸배려좀,,,,,,,,
23,2022-03-12 04:34:57,"친구 목록에서 더이상 연락 할 필요가 없는 친구를 정리하고싶어요.
숨김친구나 차단친구 말고. 친구 안하기 같은 기능이요.
(예를들면 인스타 팔로우/언팔로우 같은 느낌)
차단할 필요까지는 없고 목록에서 안보고싶거든요...
휴대폰 번호를 삭제했더니 ㄱ,, ㄱㄱㄱ,, d 뭐 이런식으로 이름 설정해둔 사람이 많아서 친구목록 보기가 몹시 불편해요.",5.0,False,친구 안하기 기능 만들어주세요,j_junnnn,,,,,,,,
24,2021-09-20 09:17:08,멀티프로필. 뷰인가 뭐가 하는거. 업데이트 한 친구 상단에 뜨는거. 뭐 이거는 끌 수는 있다만 어쨋든 불편하니까 없애라. 메신저 앱에 문자 주고 받는 것과 뉴스나 샵 카테고리 별로 정리해둔 기능만 탑재해놨으면 됐지 뭘 자꾸 추가하고 없애고 짬뽕을 해놔서 기존 유저들 빡치게 만드나. 나도 빡쳐서 평소 리뷰 같은건 잘 안쓰고 평점만 남기는 사람인 내가 이렇게 글을 남긴다; 멀티프로필. 분명 순기능이 있지만 역기능으로 사용될 확률이 더 높다. 정 그러면 좀 까다로운 절차를 만들어서 하나만 추가로 만들 수 있게 해놓든지 해라. 저리 해놓으면 사람한테 신뢰성 얻기가 더 힘들어질거 같다. 뷰도 마찬가지로 정말 뭐하자는건지 모르겠네; 뷰는 답이 없다;; 돈을 목적으로 괴상한것도 잘도 만들었다.  프사 업뎃 한 친구를 위에 뜨게해 보여주기식으로 해놓는건 도대체 뭐냐. 같은 sns 부류지만 적어도 페북이나 인스타랑은 별개로 차별을 둬야되지않나. 왜 다들 서로 똑같이 되려고 애를 쓰는지 이해 불가네. 정말 오랫동안 사용해온 유저로써 손절하고 싶은 마음이 한가득이다. 카톡.. 다른 앱이 생기거나 뭔가 좀 더 나은 듯한 메신저 앱 있으면 바로 갈아탈거다. 아직까지도 바뀌지 않는거 보니 하다못해 조금이라도 개선된 모습 기다렸건만 정말 유저를 뭘로 보는건지ㅋㅋ 웃음만 나온다.,5.0,False,이 기능들 다시 없애라.,라마븀,,,,,,,,
25,2021-02-09 20:15:13,"사진을 누르고 바로 끄거나 다음장으로 넘기려고하면 프리징? 되듯이,, 그 사진으로 화면이 고정이 되어버리는 현상이 자주 일어나고 있습니다.. 스와이프 했을때 채팅창도 제대로 나가져서 아래 프로필 채팅목록 표시줄은 뜨는데 화면은 사진으로 고정... 이 현상이 생길땐 앱을 완전히 종료하고 다시 켜야 돼서 번거롭더라구요...저한테만 일어나는 현상인진 몰라도 귀찮네요...
그리고 새 카톡 푸쉬알림을 눌러서 들어갔을때 그 카톡이 뜨기까지 좀 시간이 걸려요 아이폰으로 바꾼지 얼마 안돼서 그러려니 했는데 이게 조금은 흠인거 같습니다.",5.0,False,프리징?같은 현상,아이폰쓸만은한데불편해,,,,,,,,
26,2021-12-26 13:14:34,"카카오톡이 로그아웃 된다고 채팅 내용이 다 삭제되는건 정말 안좋은 것 같습니다 이 부분만 고치면 명실상부 최고의 채팅 앱이 될겁니다 제발 이 부분만 고쳐주세요.. 게임만 해도 로그아웃하고 접속해도 서로 대화한건 남아있는데 트위터도 마찬가지구요 카톡도 그렇게 해주세요 너무 불편합니다.. 라인도 마찬가지구요

해킹을 당해도  잡지도 못하고 그냥 대화내용 다 날라가는데 제발 부탁 드릴게요.. 업데이트 좀해주세요",4.0,False,다 좋은데요,이빨빠진겁쟁이호랑이,,,,,,,,
27,2021-08-20 01:05:01,저만 카톡친구들 업데이트 프로필 한번에 뜨는거 거슬리나요? 그거 있기 전에 가끔 직접 찾아서 보는 재미가있었는데 이런건 좀 별로네요.. 무엇보다 안궁금한 사람들의 프로필이 뜨는것도 별로 보기싫고 창 중간에 뜨는게 너무 불편해요 진짜 너무 거슬리는데 예전 카톡으로 다시 돌려주세요ㅠㅠ 진짜 업데이트 전이 훨씬 좋은것같습니다 볼때마다 너무 거슬려요,5.0,False,업데이트 프로필,익명이다̤̜,,,,,,,,
28,2021-08-07 07:44:23,"이번업데이트 진짜 별로 욕심이 과한느낌
카톡 fun 보느라 시간가는줄 몰랐는데 없애고 채널? 그 채널이 누구껀데 일일이 추가하고 봐야하는지 모르겠네 진짜 별로임 되돌릴수 있으면 되돌리고싶음 잔여백신도 보고싶지않은데 왜 굳이 탭까지 만들어서 보여주는지 모르겠음 내 선택권은 없는거 같음",5.0,False,별점1점 남기고 싶은데 아무도 안볼까봐 5점 준다,ara4809,,,,,,,,
29,2023-09-10 05:07:36,과목별 오답방 / 동아리별로 잡담방,, 공지방,, 수금방 등등 / 중학교 친구들/대학교 친구들 / 가족 / 홈쇼핑 및 광고들 / 이런 식으로 나누고 싶은게 너무 많은데 그룹별로 묶을 수 있게 해주세요 제바알! + 이 그룹별로 묶을 지 기존의 카톡을 유지할지 결정할 수 있게 설정을 추가해놓으면 되잖아여…,5,False,아니 제발 그룹별로 묶을 수 있게 해달라니까요?,ye trip,,,,
30,2023-06-24 15:57:35,"불특정 다수가 친구추가를 하거나 전화번호를 저장했을때 혹은 단체카톡방에 초대됐을때 프로필을 바로 볼 수 없게 개선해 주세요. 프로필 자체도 개인정보인데 이렇게 쉽게 정보가 나가게 되어 사생활이 침해됩니다.
멀티프로필 기능 자체는 좋은 기능이나 저장을 하였을 때 그제야 멀티프로필 지정을 할 수 있게 되는 것이고 상대방이 저장을 했을 때는 바로 기본프로필이 노출 됩니다. 그 부분에 있어서 수락,,거절 버튼이 있었으면 좋겠습니다.",4.0,False,프로필 관련 개선 부탁드립니다,김**님,,,,,,,,
31,2023-09-13 01:23:26,요즘은 굳이 카카오 채널로 친구 추가 하지않아도 대부분의 어플들에서 오는 메세지가 알아서 카톡 채팅으로 오는 경우가 많은데.. 안읽어도 채팅방은 채팅이 오면 자동적으로 맨 위에 올라오게 되고 모든 채팅방이 혼재되어있어서 어지럽고 정리가 안돼요 친구가족카톡/광고카톡/업무카톡이 다 섞여 있어서 지저분하고 매번 채팅방 나가기도 힘들어요 탭별로 분류할 수 있게 해주면 훨씬 좋을것 같아요,5.0,False,채팅창 제발 분류할 수 있게 해주세요..,잭스누나,,,,,,,,
32,2021-09-13 22:27:46,"최근 프로필 업데이트 뜨는거 심각하게 부담스럽습니다 무슨말씀이신지 리뷰들 보시면 아실거라 믿습니다
없애달라는건 아니고. 이것도 설정할 수 있게 해주세요 자기가 프로필 바꿀때 다른사람 업데이트란에 뜨는거 공개,,비공개 이렇게 설정 할 수 있도록이요. 제발요...",5.0,False,운영자님? 제발 이거하나만은 수정해주세요.,유자차님,,,,,,,,
33,2020-11-19 03:29:13,이번 업데이트 계획 안에 멀티 프로필?을 만들고자 하시던데 아이디어 자체는 획기적이고 어떤 사람에겐 매우 좋을 수 있으나 전체적으로 보았을땐 좋은결과를 도래할것같진 않습니다. 이미 SNS내 반응에서도 바람둥이들은 좋아죽겠네,, 문제가 여러모로 발생할것같다 는 둥 얘기가 많습니다 카톡은 이미 오래전부터 한국인들에게 정착된 SNS입니다 직장을 다니는사람들부터 여러모로 ,, 공적으로 공개하고싶거나 하지않고싶은걸 본인 스스로 자제하고 제지하고 선택해왔을텐데 굳이 멀티프로필이 필요한가 싶습니다 SNS내에 너무 개인적인 요소가 더 첨가 될 필욘 없다 생각이 듭니다. 특히나 카카오톡은 소통 및 소식등을 주기적 ,, 정기적 혹은 매일 주고받는 SNS인데 개인적인 사진등 멀티적으로 프로필을 만들어 카카오스토리 및 인스타그램 페이스북 등과 같은 사진 및 프로필 업로드화로 변화되지 않았으면 합니다. 의견반영또는 피드백이 꼭 되었으면 한데 현재론 다수가아닌 소수이다 보니 힘이없을 듯 하지만 한번만이라도 읽어주셨음 하는 마음에 여기에라도 남겨봅니다.,5,False,이번 업데이트 계획,페라리냥,,
34,2020-07-02 02:05:00,안녕하세요 초등학교때부터 카카오톡을 사용해왔고 현재 18살이 된 학생입니다. 다름이 아니라 제가 현재 가지고 있는 카카오톡 계정이 이름은 저의 명의이지만 어릴적 처음에 본인인증을 할때 부모님 명의로 해서 현재 카카오페이나 카카오메일 등 여러 가능을 사용하지 못하고있는 상태입니다ㅜㅜ 그러나 현재 친구들이나 다른 채팅등 때문에 계정을 탈퇴할 수가 없어서 혹시 탈퇴하지 않고 본인인증만 다시 할수 있는 방법이 있을까요..?ㅜㅜㅠㅠ 한번만 부탁드립니다ㅜㅠㅠㅠ,5.0,False,부탁드립니다ㅜㅠ,김나예 skdp0979,,,,,,,,
35,2022-03-08 16:36:09,자주 프로필을 바꾸는 편인데,, 바꿀 때마다 저의 바뀐 프로필을 사람들이 계속 확인하게 되는게 조금 부담스러울 때가 있어요. 내가 프로필을 바꾸었을때 친구 입장에서 '업데이트한 친구'에 내 프로필이 노출되지 않도록 설정하는 기능이 있으면 좋겠습니다.,5,False,업데이트한 친구 보기에 대해서,단호박감자,,,,,,
36,2021-02-04 04:57:42,"아직 베타 테스트라 그런지 상당히 오류가 많고 불안정합니다ㅠ API오류난다고 알럿 뜨면서 해제도 안되네요... 

추가로 톡방기준으로 프로필설정도 가능했으면 합니다 회사 사람들에게 내 프로필을 보여주고 싶지 않은 경우가 많은데 지금처럼 친구만 설정할 수 있으면 친구추가되지 않은 직장 사람들한테는 기본 프로필이 보여지는 경우가 생기네요",5.0,False,멀티프로필 오류,라리가이니,,,,,,,,
37,2020-11-23 05:02:19,"아이폰SE고 iOS버전은 14.2 최신입니다.
특정 화면이나 동작 실행 시에 그런 것도 아니고 랜덤으로 툭툭 꺼져요.
확인하셔서 조치 부탁드려요",5.0,False,최근 업뎃 후 강제종료 오류 자꾸 발생해요,losetta,,,,,,,,
38,2020-11-14 19:34:36,"최근에 업데이트해주신 기능 너무 잘 쓰고 있습니다 아이콘도 바뀌는 것도 이쁜 글씨체도 추가된것! 너무 이쁜 것 같아요 근데 한가지 궁금한점이 있는데 저만 그럴지 다른분도 그럴지는 모르겠지만 왜 프로필 뮤직을 바꾸려고 하면 자꾸 렉이 걸리는 지 모르겠습니다 폰을 껐다가 켜도 똑같은 것 같아요 편집버튼을 누르면 그런 상황이 발생합니다
이 부분좀 개선해주세요",5.0,False,최근 업데이트 아주 만족스럽습니다,게임흥해라,,,,,,,,
39,2020-09-23 15:35:25,"카톡 너무 잘 쓰고있고 감사하고 고맙고 사랑스럽습니다.
그런데 카톡방 정렬 기능중에 즐겨찾기 해서 상위 고정 가능한 기능은 있지만 밑 쪽에 고정하는 기능이 없어서 정말 너무 슬픕니다. 다들 안보고싶지만 나갈 수 없는 그런 단톡방 하나씩은 품고 살잖아요. 그런건 좀 맨 밑에 고정되게 기능 좀 만들어주세요 부탁드려요 제발 도와주세요. 일부 단톡방이 새메시지 오면 자꾸 위로 치고 올라오는게 싫어여ㅜㅜ 그냥 좀 밑에 붙어있으먼 좋겠습니디ㅡ. ㅜㅜ 감사합니다",5.0,False,카톡 채팅방 하위정렬,ㄱㄱㄴㄴㄷㄷㄹㄹㅁㅁㅂㅂㅅㅅㅇㅇㅈㅈㅊㅊ,,,,,,,,
